utc_time,utc_time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,1,761366625.9283721,61065120.3950209,2018434285.5154626,133683956.41065398,11680963.496436354,92292893.49598128,1098087.0342187132,1665835.1402515392,23892503.192452345,90717588.4371356,147981007.09727544,68477855.11805362,83029956.36279777,2626918.3977293223,18994108.436849505,13443967.583030209,6093521.513950702,48546014.37710245,11969238.472025275,4445071.671291479,6806310.889598218,4137570.110768553
1,2,720530471.8694757,60131367.86899983,1949719906.734028,128803065.39876147,14359131.826489072,87957187.68354489,854143.9700310548,1530368.7669179419,24496930.55331451,95675033.45542654,124657883.61601445,71059888.2864546,59761933.48327951,2602430.597836743,18030450.075927306,13071334.05108281,6243000.4256465845,46924120.255117804,12219891.835201971,5163253.076931637,7492223.6608507885,4283052.380385609
1,3,723575316.375673,61505163.36008633,1969508251.2758381,126247450.28328353,10617289.133491231,88203647.63143778,217003.48890601535,1215078.8683915967,25191176.753911115,90855775.58960351,126484096.6579079,72918599.0570748,67249132.26870687,2709773.498687828,18310126.86607476,12704255.535300042,5253832.241962845,45832155.71454515,12223974.401947375,2647465.6971512595,5887894.821272438,4692181.778690967
1,4,708269317.451636,61988342.4731219,1966995677.962406,127274573.01030608,11838380.600241063,89339579.76697476,567446.4583099136,1529153.8224559664,24767861.112633012,91476224.7566669,127185399.3195788,69055284.48266412,63573161.21814619,2523821.622021248,18104469.608265862,12175789.649188126,5670082.5299502285,45865959.01235054,14406114.617909428,3907280.9697172088,6858562.611036335,5123102.4346168125
1,5,714009029.2746959,61384734.189692706,1931650789.0251076,127360894.34404844,10997322.818671735,89179794.06147793,832882.7358178222,1495101.5516057485,24444697.170279846,86143757.38003728,138478444.9426237,73941475.22523943,67978570.126111,2644918.1656377087,19354836.441768635,12429482.554549139,5594941.4398520775,45570888.4692383,14025925.949958736,3634147.657522751,6416549.649873828,5173517.376738537
1,6,724790558.7407662,63488965.74595116,1977194774.465188,139735364.83966675,14961262.283344543,88214894.45044237,1150024.9193255738,1620907.0896250063,24055757.933894683,89396025.03927512,155542553.9365533,76392039.1842361,92362224.76606672,3162642.358471735,19192477.959481932,12815689.79956819,6657075.390731766,46047148.98209536,13721412.009912321,5643297.492781439,7331136.33500052,4627631.219739599
1,7,714231230.1504703,60946611.46120448,1934462775.1532547,128617647.8531551,14447219.43159523,86221989.54778866,1248063.0673975833,1929894.5990338996,25344410.281037476,92645569.21282916,136992806.50809187,76654139.41586228,80738781.10174002,2773110.9670235575,19813672.63061019,12619484.981372965,5104754.776018189,46041957.36842172,15038583.581268225,3785189.631601108,7777582.573511664,4588142.909069447
1,8,723043082.2118213,64088792.89694337,1921855527.7511828,129148107.61798556,12980869.422955224,88678588.18261047,947334.7302712817,2014624.055182605,26044399.187233567,93472571.52172813,130252190.22340913,74448654.17659289,64278282.010744125,2967196.2982476065,18759866.759193823,15661531.353202533,5928378.707705851,46534484.502070926,13473035.29333841,4432589.31807257,9130504.972074838,5672247.159423651
1,9,712187031.9244138,66844633.52261793,1937303803.2417803,127127821.82275887,15255762.350367555,87158415.64774142,733486.1979155813,1629359.4826643656,25330620.051683534,96785064.18290827,144510430.40467307,72001853.0749031,67135649.71065599,2970138.636142321,19031534.110074762,15642594.40277792,6371792.994500668,45996623.28504331,13972853.73753685,3612452.848270182,7074733.846605903,5382436.590025531
1,10,699194421.8703464,62824719.10880042,1869504579.5089061,127955323.07274167,11826102.142869314,88511959.47332618,824527.4356286639,1843396.9836570418,29225289.65187374,82796537.11545128,147072157.68671915,77195085.48701337,68167309.99839096,2976311.8114567916,18055967.579869695,15349869.483218558,5370673.504473867,45336834.25257799,14455511.18523341,3401654.4812548477,7700926.014481282,4661379.907219892
